SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3,Angular_Distance,r1_1,r1_2,r1_3,r2_1,r2_2,r2_3,r3_1,r3_2,r3_3,Focal_Length,Pixel_Size,Sensor_y,Sensor_z,Sensor_y_Pixels,Sensor_z_Pixels
18,186.649565833333,-63.0990916666667,1.28,-0.00521,-0.0147,-0.449405207271032,-0.0523919754038198,-0.891790356861391,1.54454517919669e-08,0.452448847284457,2.63221514029688e-10,-0.891790356861391,1,2.63221514029688e-10,5.81770458780929e-11,1,-2.67245035935281e-10,3.53585192440662e-11,0.025,4.8e-06,-6.68112589838204e-12,8.83962981101656e-13,-1.39190122882959e-06,1.84158954396178e-07
19,191.930262916667,-59.6887636111111,1.31,-0.00637,-0.0128,-0.493795449257103,-0.104331451770356,-0.863296590091995,4.24244277711827,0.502554882016743,0.046449844958536,-0.863296590091995,0.997259951217664,0.046449844958536,0.0575760505824375,0.997259951217664,-0.0633407456165171,-0.0382170072361391,0.025,4.8e-06,-0.00158786948024879,-0.000958050285421464,-330.806141718498,-199.593809462805
25,186.6518425,-63.0995230555556,1.58,-0.00627,-0.0077,-0.449396455861094,-0.0524090548527355,-0.891793763394279,0.00111676486218166,0.452442132485309,1.79782003546652e-05,-0.891793763394279,0.999999999810046,1.79782003546652e-05,-7.52941682944057e-06,0.999999999810046,-1.43187699851256e-05,1.32242440954867e-05,0.025,4.8e-06,-3.57969249696137e-07,3.30606102449968e-07,-0.0745769270200285,0.0688762713437434
27,187.791497083333,-57.1132116666667,1.65,0.00343,-0.2643,-0.537968014856769,-0.0736111184303408,-0.83974509122382,6.01262768666621,0.542872991277332,0.0108211416727069,-0.83974509122382,0.994498833694324,0.0108211416727069,0.104187200142481,0.994498833694324,-0.045802668103753,-0.0942028947283874,0.025,4.8e-06,-0.00115140074960187,-0.00236809967836881,-239.875156167055,-493.354099660169
130,183.786315416667,-58.7489277777778,2.79,-0.00471,-0.0107,-0.517656879208271,-0.0342585508019054,-0.854902162300054,4.56615783607336,0.518141601333962,-0.025914742170632,-0.854902162300054,0.996826074648434,-0.025914742170632,0.0752741857426899,0.996826074648434,-0.00139339580912555,-0.0795979607095209,0.025,4.8e-06,-3.49458106224043e-05,-0.00199628507755463,-7.2803772130009,-415.892724490547
184,191.570026666667,-68.1081191666667,3.08,-0.00722,-0.0103,-0.365279972840377,-0.074782089530734,-0.927889099260871,5.40164988398321,0.371482222359466,0.0319808996702876,-0.927889099260871,0.995559254256006,0.0319808996702876,-0.0885380896648644,0.995559254256006,0.000229594690694045,0.0941367014054697,0.025,4.8e-06,5.76547025484745e-06,0.00236391508097173,1.20113963642655,492.482308535777
193,173.945353333333,-63.0198416666667,3.12,-0.00497,-0.0069,-0.451151162552353,0.0478529869218219,-0.891163688763361,5.74700541689154,0.442575045624923,-0.0997727859678039,-0.891163688763361,0.994973753254549,-0.0997727859678039,-0.00852182578906605,0.994973753254549,0.0966703868069699,-0.0261164057471011,0.025,4.8e-06,0.00242896826400601,-0.000656208409057893,506.035055001252,-136.710085220394
322,185.34003875,-60.4011466666667,3.59,-0.02309,0.0918,-0.491780786462598,-0.045967764555158,-0.869504814643387,2.76807974532263,0.493795463522499,-0.0112879367720751,-0.869504814643387,0.99883319720584,-0.0112879367720751,0.0469555815956885,0.99883319720584,-0.00545256385868065,-0.0479845152828153,0.025,4.8e-06,-0.000136473333934379,-0.00120101422882841,-28.4319445696623,-250.211297672584
340,176.40174625,-66.7287627777778,3.63,-0.01695,0.0332,-0.394305535011826,0.0247955364160702,-0.918644831495218,5.64964394331659,0.388781791865146,-0.070287921304086,-0.918644831495218,0.995142475686573,-0.070287921304086,-0.0689279421073115,0.995142475686573,0.0896237856185164,0.0407311936457121,0.025,4.8e-06,0.00225153150951281,0.00102325030437503,469.069064481836,213.177146744797
517,193.648436666667,-57.1779241666667,4,-0.00375,-0.0136,-0.526726065335032,-0.127899887517144,-0.840357823114522,6.86172860826139,0.537993114075665,0.066046486185043,-0.840357823114522,0.992837367271278,0.066046486185043,0.0995581428736274,0.992837367271278,-0.0961142859917988,-0.0709648235263317,0.025,4.8e-06,-0.00242019209691815,-0.00178691963723555,-504.206686857948,-372.274924424073
