SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3,Angular_Distance,r1_1,r1_2,r1_3,r2_1,r2_2,r2_3,r3_1,r3_2,r3_3,Focal_Length,Pixel_Size,Sensor_y,Sensor_z,Sensor_y_Pixels,Sensor_z_Pixels
491,30.8587725,72.4212944444445,3.95,-0.00971,0.0225,0.259260529033714,0.154910961622491,0.953302980197982,3.50464120928528,0.296607875290874,0.056896364216704,0.953302980197982,0.99812984994784,0.056896364216704,-0.0223518764765298,0.99812984994784,-0.0380977585563727,0.0478054749592786,0.025,4.8e-06,-0.000954228514415324,0.00119737614704582,-198.797607169859,249.453363967879
929,30.48938625,70.90702,4.52,-0.0111,-0.0107,0.28187147344533,0.165964661793527,0.944988996493355,4.41207092066834,0.321635801020246,0.0595500462514168,0.944988996493355,0.997036567141556,0.0595500462514168,-0.0487019072936133,0.997036567141556,-0.0272208992034587,0.0719521120547321,0.025,4.8e-06,-0.000682545156831593,0.00180414927661617,-142.196907673249,375.864432628368
1148,21.48342375,68.1300125,4.72,0.01344,0.0268,0.346621622603043,0.136422060093504,0.92803150391777,5.88923420841315,0.37237687351088,0.00964322613980902,0.92803150391777,0.994722114122125,0.00964322613980902,-0.10215147510451,0.994722114122125,0.0427244587407424,0.0932873855444642,0.025,4.8e-06,0.00107377875022031,0.00234455895320055,223.703906295898,488.449781916781
2000,25.732765,70.6225258333333,5.18,0.0154,-0.0136,0.298886265754835,0.14405481213841,0.943353174183931,3.7963648712653,0.330130865878405,0.0331421205036214,0.943353174183931,0.997805671029142,0.0331421205036214,-0.05731878148223,0.997805671029142,-4.25275503062918e-05,0.066210581129391,0.025,4.8e-06,-1.06552687414646e-06,0.0016589047109018,-0.22198476544718,345.605148104542
2001,39.5084629166667,72.8182516666667,5.18,-0.00652,0.0152,0.227913023342137,0.187933544653525,0.955372511947569,5.66682423038961,0.278445244093712,0.0986489201997927,0.955372511947569,0.995112911909382,0.0986489201997927,-0.00432239455000871,0.995112911909382,-0.08327127367392,0.0530677635853833,0.025,4.8e-06,-0.00209200565778366,0.00133320960240479,-435.834512038263,277.752000500998
2086,31.3814508333333,76.1150605555555,5.22,-0.00339,-0.0205,0.204869505391525,0.124961860659108,0.970779593492388,3.60797066822435,0.235253835933345,0.0473562407439724,0.970779593492388,0.998017983705278,0.0473562407439724,0.041442618926061,0.998017983705278,-0.0617330169750423,-0.0122122404173405,0.025,4.8e-06,-0.00154639039533762,-0.00030591233366359,-322.164665695337,-63.7317361799146
2220,31.2809225,77.2813408333333,5.27,0.04206,-0.0476,0.188159053002408,0.114316704039852,0.975462896245009,4.29776376369303,0.215910289140656,0.0430683769429096,0.975462896245009,0.997188059161796,0.0430683769429096,0.0613277227086868,0.997188059161796,-0.0679621698866671,-0.0315771773505158,0.025,4.8e-06,-0.00170384535951508,-0.000791655522255716,-354.967783232309,-164.928233803274
2236,24.6288229166667,73.04004,5.28,-0.0027,-0.0132,0.26516608928179,0.121563905551626,0.956508840503859,1.62587997617103,0.29075192178075,0.0235405611395136,0.956508840503859,0.999597401121092,0.0235405611395136,-0.0158391178162219,0.999597401121092,-0.0124671650580486,0.0254873589721397,0.025,4.8e-06,-0.000311804658657229,0.000637440607177312,-64.9593038869227,132.800126495273
2335,17.6638429166667,68.7786208333333,5.32,0.00649,-0.0275,0.34490657113923,0.109833950731364,0.932188800861564,5.27333022048675,0.36167158333127,-0.0147548418809789,0.932188800861564,0.995767586554473,-0.0147548418809789,-0.0907149833740126,0.995767586554473,0.0581355595847566,0.0711840591652885,0.025,4.8e-06,0.00145956647840676,0.0017871655024341,304.076349668076,372.326146340437
2616,11.94188875,74.8475730555556,5.43,0.00383,-0.0059,0.255730865284494,0.054086242743177,0.965233859169254,2.32157670823026,0.258806991510002,-0.036640664005601,0.965233859169254,0.999179211248895,-0.036640664005601,0.017273261106852,0.999179211248895,0.0230951152869545,-0.033279414927536,0.025,4.8e-06,0.000577852176740334,-0.000832668818387929,120.385870154236,-173.472670497485
