SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3,Angular_Distance,r1_1,r1_2,r1_3,r2_1,r2_2,r2_3,r3_1,r3_2,r3_3,Focal_Length,Pixel_Size,Sensor_y,Sensor_z,Sensor_y_Pixels,Sensor_z_Pixels
96,45.5698841666667,4.08973388888889,2.55,-0.00079,-0.0788,0.69825619088647,0.71228641111072,0.0713187242996445,5.88986996213083,0.994473475029269,-0.0770463952919417,0.0713187242996445,0.99472097554925,-0.0770463952919417,-0.067779301965034,0.99472097554925,-0.049218042541397,-0.0900431290590383,0.025,4.8e-06,-0.0012369811170972,-0.0022630247896733,-257.70439939525,-471.463497848604
331,51.2033075,9.02886972222222,3.61,-0.00501,-0.0803,0.618795377111414,0.76971721629341,0.156932113370933,1.57313035223207,0.987391597653102,0.0207399295319067,0.156932113370933,0.99962309935764,0.0207399295319067,0.0179865103240711,0.99962309935764,0.0133374098977851,0.0239952646962862,0.025,4.8e-06,0.000333560966787275,0.000600107798421866,69.4918680806823,125.022458004555
372,51.7923025,9.73267972222222,3.73,0.00363,-0.0381,0.609611823998037,0.774464325761341,0.169051566584924,2.47748906383752,0.985125020327711,0.0308263225103089,0.169051566584924,0.999065282092704,0.0308263225103089,0.0303034644474346,0.999065282092704,0.018602872535328,0.0390191651686815,0.025,4.8e-06,0.00046550693104762,0.000976391780098433,96.9806106349208,203.414954187174
598,52.7182429166667,12.9366780555556,4.13,0.0013,-0.0016,0.59036037215633,0.775470846258488,0.223874066364514,5.61344775977892,0.97352146504911,0.0462207691200829,0.223874066364514,0.995204469113135,0.0462207691200829,0.086207338198039,0.995204469113135,0.0139486695029734,0.0968168336413658,0.025,4.8e-06,0.000350397077582549,0.00243208397485501,72.999391163031,506.684161428128
1134,44.9287575,8.90736472222222,4.71,0.00062,-0.0149,0.699447137393847,0.697709888828872,0.154837376049699,5.09745929180558,0.984072736794001,-0.0873283211610608,0.154837376049699,0.996045006335583,-0.0873283211610608,0.0163740549998683,0.996045006335583,-0.087662035618548,-0.0144814662641772,0.025,4.8e-06,-0.00220025287665097,-0.000363474194741812,-458.386015968952,-75.7237905712108
1353,49.8404,3.37019777777778,4.85,0.01796,0.0935,0.643803603824516,0.762929218573042,0.0587871342224864,4.63252379192896,0.998266667990924,-0.00278072440315735,0.0587871342224864,0.996733193166753,-0.00278072440315735,-0.0807168458960158,0.996733193166753,0.024993761000065,-0.0768000882205165,0.025,4.8e-06,0.000626891959940064,-0.00192629503931018,130.60249165418,-401.311466522954
1765,57.0677866666667,11.1432938888889,5.08,0.00192,-0.0298,0.533397007687019,0.823490674912852,0.193263396746795,7.6444614219667,0.973691443062379,0.120723788811456,0.193263396746795,0.991112611098902,0.120723788811456,0.055870913145612,0.991112611098902,0.094334275777643,0.0937914523516138,0.025,4.8e-06,0.00237950447611219,0.00236581220189555,495.730099190039,492.877542061574
1879,52.60195375,11.3364422222222,5.13,-0.0008,-0.0161,0.595499273724715,0.778935763836877,0.196569811540832,4.20820701024061,0.979478968161456,0.0445113482178597,0.196569811540832,0.997303976401504,0.0445113482178597,0.0583396823232397,0.997303976401504,0.0218736389517864,0.0700451466752336,0.025,4.8e-06,0.000548319255446854,0.00175586251365336,114.233178218095,365.804690344451
2375,56.4185104166667,6.04999111111111,5.34,0.00138,-0.0156,0.550041712564599,0.828459875515155,0.105396153157586,6.66174566553268,0.988197081632714,0.111167345709837,0.105396153157586,0.993248325028687,0.111167345709837,-0.033160007170358,0.993248325028687,0.115804524840976,0.00686125746961929,0.025,4.8e-06,0.00291479285498999,0.000172697433681077,607.248511456248,35.978632016891
3014,54.9630095833333,3.05686333333333,5.55,-0.00244,0.0083,0.573288271992563,0.81761652738867,0.0533270225746075,6.98725581140231,0.994833195423753,0.0863894782151878,0.0533270225746075,0.99257323424896,0.0863894782151878,-0.0856459730884398,0.99257323424896,0.110472203183331,-0.0509339471902471,0.025,4.8e-06,0.00278246983122916,-0.00128287630153524,579.681214839408,-267.265896153175
3079,48.109855,6.66088305555556,5.57,-0.00054,-0.0013,0.663197564556025,0.73940157885465,0.115992653018229,2.30381159415795,0.992709647985905,-0.0327606355477488,0.115992653018229,0.999191723141259,-0.0327606355477488,-0.0232946595706006,0.999191723141259,-0.0228176846714166,-0.0330946169676942,0.025,4.8e-06,-0.000570903564925518,-0.000828034705483032,-118.938242692816,-172.507230308965
3265,45.5938245833333,4.35288416666667,5.62,0.00112,0.0056,0.69772194449359,0.712336588189569,0.0758990994579538,5.69949840725785,0.99416850593983,-0.0766048856068448,0.0758990994579538,0.995056439412368,-0.0766048856068448,-0.063201059209029,0.995056439412368,-0.0503690103918945,-0.0855899829192774,0.025,4.8e-06,-0.00126548124299462,-0.00215038010732895,-263.641925623879,-447.995855693532
3343,46.59869,13.1872502777778,5.64,-0.00023,-0.0627,0.668984975860748,0.707399378085169,0.228134219172204,6.17064998435078,0.971914616197702,-0.0577646679550995,0.228134219172204,0.994206156681101,-0.0577646679550995,0.0906496616288788,0.994206156681101,-0.0852850424822878,0.0654261380962342,0.025,4.8e-06,-0.00214455125602394,0.00164518539883726,-446.781511671655,342.746958091095
3487,50.2783475,3.67562027777778,5.68,0.00374,-0.0252,0.637743981882776,0.767575936675435,0.0641076829181146,4.33323184541815,0.997931210668467,0.00484806813463895,0.0641076829181146,0.997141477752678,0.00484806813463895,-0.0754013897787446,0.997141477752678,0.0303444879902684,-0.0691959926138265,0.025,4.8e-06,0.000760786926110467,-0.00173485894824519,158.497276273014,-361.428947551081
3846,53.1497883333333,9.37343833333333,5.76,0.0022,-0.0492,0.591717430022877,0.78952156922888,0.16286858116128,3.40303385832426,0.985157243284626,0.0542128331149291,0.16286858116128,0.998236686203418,0.0542128331149291,0.0241761668440698,0.998236686203418,0.0426746631809228,0.0412600465343199,0.025,4.8e-06,0.00106875112312359,0.00103332323647721,222.656483984081,215.275674266085
4474,54.1970395833333,0.587757777777778,5.9,-0.0022,-0.1635,0.584968800748611,0.810990920387047,0.0102581285087973,8.51074801809651,0.997265785156844,0.0731828159816306,0.0102581285087973,0.98898811864393,0.0731828159816306,-0.128634274694343,0.98898811864393,0.112764865213824,-0.0958466814994081,0.025,4.8e-06,0.00285051112060991,-0.00242284714276523,593.856483460398,-504.759821409422
4592,52.6892495833333,6.18870305555556,5.92,0.00284,-0.0168,0.602605218949332,0.79072459833713,0.107803337979914,3.22519883539529,0.993077352866719,0.0466455951148423,0.107803337979914,0.998416117174828,0.0466455951148423,-0.0314554513864106,0.998416117174828,0.0545909195131383,-0.0136047224246104,0.025,4.8e-06,0.00136693805754087,-0.000340657622372601,284.778761987681,-70.9703379942918
4593,56.5390116666667,6.80352055555556,5.92,-0.00012,-0.0554,0.547486465779927,0.828386756311975,0.118464981132522,6.59380336650979,0.986498588100554,0.113077778192198,0.118464981132522,0.993385190434011,0.113077778192198,-0.0199819795190712,0.993385190434011,0.113092593241118,0.0198979592014775,0.025,4.8e-06,0.00284614151514851,0.000500761421478009,592.946148989272,104.325296141252
4752,45.1839229166667,10.8703883333333,5.95,0.00552,-0.0344,0.692185976428211,0.696644220650751,0.188587920795665,5.55021920608977,0.978589003307292,-0.0824509474536772,0.188587920795665,0.995311808137594,-0.0824509474536772,0.0505593299586158,0.995311808137594,-0.0947708561779227,0.0193103444085473,0.025,4.8e-06,-0.00238043132320654,0.000485032535801026,-495.923192334696,101.048444958547
4857,44.05737375,8.38156333333333,5.97,0.00471,-0.0883,0.710968208573699,0.687951205275729,0.145764692423016,5.89430445848087,0.984002753290685,-0.102426734591977,0.145764692423016,0.994713030392555,-0.102426734591977,0.0073994059277425,0.994713030392555,-0.0987803925432091,-0.0280788392970292,0.025,4.8e-06,-0.00248263543165375,-0.000705702007491248,-517.215714927864,-147.021251560677
4858,47.6616404166667,11.8726269444444,5.97,0.00209,-0.027,0.65909946044019,0.72336734793016,0.205736679267301,4.505566714063,0.977792503937649,-0.0399279106316053,0.205736679267301,0.996909706139177,-0.0399279106316053,0.0676520491788244,0.996909706139177,-0.0606583265403355,0.0499159816774706,0.025,4.8e-06,-0.00152115899180209,0.00125176787250835,-316.908123292102,260.78497343924
5256,51.0422070833333,12.6295902777778,6.05,0.00177,-0.0213,0.613534536135295,0.758794283808321,0.21864722232186,4.74171352712609,0.975642542524355,0.0177488418649377,0.21864722232186,0.996577468314547,0.0177488418649377,0.0807361645127005,0.996577468314547,-0.0109349388302207,0.0819376394616524,0.025,4.8e-06,-0.000274312313339631,0.00205547591799935,-57.1483986124232,428.224149583198
5629,47.8413279166667,13.0478447222222,6.11,-0.00107,0.0171,0.653857303902457,0.722150234923383,0.225764621527625,5.47557455698223,0.973490548011668,-0.0366945309062596,0.225764621527625,0.995436967382762,-0.0366945309062596,0.088083797428236,0.995436967382762,-0.0646080129368871,0.070221425734287,0.025,4.8e-06,-0.00162260431985856,0.00176358292978901,-338.0425666372,367.41311037271
6148,44.26906375,4.50103,6.19,0.00139,0.0244,0.713861317203684,0.695875978586147,0.0784770171897054,6.68478287320004,0.991933136228939,-0.0995490382878051,0.0784770171897054,0.993201600970589,-0.0995490382878051,-0.0603371262609759,0.993201600970589,-0.0729089841137464,-0.0907461286499943,0.025,4.8e-06,-0.00183520103175673,-0.00228418199692072,-382.333548282652,-475.871249358484
6595,45.4679304166667,5.33615138888889,6.25,0.0029,0.0197,0.698269057123764,0.709768653200684,0.0929988322355545,5.23018741057563,0.992553030831083,-0.0786746349902852,0.0929988322355545,0.995836508832576,-0.0786746349902852,-0.0460429091749493,0.995836508832576,-0.0581823715482489,-0.0701744919266877,0.025,4.8e-06,-0.00146064065316445,-0.00176169710851818,-304.300136075928,-367.020230941289
6812,47.16163125,8.47106944444444,6.28,-0.00023,0.0733,0.672514690955497,0.725274949823412,0.147310005117371,2.84830815545111,0.987876955723986,-0.0489783905598193,0.147310005117371,0.998764595313721,-0.0489783905598193,0.00839049497879363,0.998764595313721,-0.0488943504822527,-0.00886710994281638,0.025,4.8e-06,-0.00122387073770107,-0.000221951949048393,-254.97307035439,-46.2399893850818
6884,51.8278241666667,12.7352888888889,6.29,0.00078,-0.0075,0.602822588965602,0.766816826744418,0.220447001463912,5.06494473245713,0.97490266004394,0.0311114606667666,0.220447001463912,0.996095267163813,0.0311114606667666,0.082621400067007,0.996095267163813,0.000977026917746443,0.0882794661982852,0.025,4.8e-06,2.45214225474722e-05,0.00221563812991612,5.10862969739004,461.591277065859
7856,50.9124579166667,4.88210527777778,6.4,-0.00046,-0.0026,0.628219528682044,0.77336746572382,0.0851057385986762,3.24702301179671,0.996245578806675,0.0158669456962475,0.0851057385986762,0.998394614867488,0.0158669456962475,-0.0543730911193441,0.998394614867488,0.0335067442028722,-0.0456671774529963,0.025,4.8e-06,0.000839015548158765,-0.00114351521865574,174.794905866409,-238.232337219945
8020,52.2658466666667,3.24870416666667,6.413,-0.00016,0.0073,0.611015059685693,0.789587920648762,0.0566702073655328,5.25894992444025,0.997612348664698,0.0394726410169465,0.0566702073655328,0.995790622356044,0.0394726410169465,-0.0827221073166695,0.995790622356044,0.0653847764872045,-0.0642329154832756,0.025,4.8e-06,0.00164152922861695,-0.00161261097567128,341.985255961865,-335.960619931517
8686,53.70450625,6.41769138888889,6.49,-0.00157,-0.017,0.588240310519382,0.800924161874708,0.11177577557484,4.00124900559475,0.991657086683866,0.0642059064596842,0.11177577557484,0.997562529383291,0.0642059064596842,-0.0273240104322305,0.997562529383291,0.069679178475299,-0.00371645764374853,0.025,4.8e-06,0.00174623586048224,-9.31384633614422e-05,363.799137600468,-19.4038465336338
