SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3,Angular_Distance,r1_1,r1_2,r1_3,r2_1,r2_2,r2_3,r3_1,r3_2,r3_3,Focal_Length,Pixel_Size,Sensor_y,Sensor_z,Sensor_y_Pixels,Sensor_z_Pixels
4,279.234735,38.7836919444444,0.03,0.01719,0.2875,0.125096461217334,-0.769413095206134,0.626381963594273,4.44440423863249e-09,0.77951628314217,1.94289029309402e-16,0.626381963594273,1,1.94289029309402e-16,7.75694575261396e-11,1,-4.98605373538776e-11,5.94217767802336e-11,0.025,4.8e-06,-1.24651343384694e-12,1.48554441950584e-12,-2.59690298718112e-07,3.09488420730383e-07
293,282.519977916667,33.3626669444444,3.52,9e-05,-0.0045,0.181056050505635,-0.815345563861511,0.549936649139386,6.03523635386119,0.833833800794347,0.0478630816621532,0.549936649139386,0.994457423301162,0.0478630816621532,-0.0936138806749057,0.994457423301162,0.0968390903303459,-0.0409465972359675,0.025,4.8e-06,0.00243447049771328,-0.00102937029470912,507.181353690267,-214.452144731066
702,283.6261825,36.8986130555556,4.28,-0.00056,0.0033,0.188398130973673,-0.777190415978054,0.600400867385687,3.94654436133291,0.797351429916987,0.0612331254457156,0.600400867385687,0.997628697266173,0.0612331254457156,-0.0314243017288919,0.997628697266173,0.0671064472768807,0.0152874826205758,0.025,4.8e-06,0.00168164888050971,0.00038309550092305,350.343516772856,79.811562692302
738,274.965456666667,36.0645475,4.32,-0.00133,0.0413,0.0699672086578421,-0.805320599080002,0.588696290467383,4.34525292945797,0.806111275113863,-0.0601771528426333,0.588696290467383,0.997125603362948,-0.0601771528426333,-0.0460352190592405,0.997125603362948,-0.0165075051173353,-0.0739461519815539,0.025,4.8e-06,-0.000413877275381891,-0.00185398288169916,-86.2244323712274,-386.246433687324
762,281.193155833333,37.6051147222222,4.34,0.00246,0.0266,0.15378645105264,-0.777165553338966,0.610215888170713,1.93848422233523,0.791772420973807,0.0270740320104554,0.610215888170713,0.999427720942347,0.0270740320104554,-0.0202787426307071,0.999427720942347,0.0337748362774754,0.00186843421488441,0.025,4.8e-06,0.000844854399416437,4.67376023231247e-05,176.011333211758,9.73700048398432
763,289.092062916667,38.1337308333333,4.34,-4e-05,0.0012,0.257277349122768,-0.743305651420167,0.617499047930604,7.74236680290772,0.774959549831317,0.134657424340584,0.617499047930604,0.990883854030719,0.134657424340584,-0.00407012176591919,0.990883854030719,0.105769795481867,0.0834382297568301,0.025,4.8e-06,0.00266857197873435,0.00210514656731513,555.952495569657,438.572201523985
819,288.439531666667,39.1459683333333,4.41,-0.00014,-0.0006,0.245306182509379,-0.735722384700614,0.631298225463304,7.16310865321609,0.765553440610753,0.124058373743657,0.631298225463304,0.992195194649903,0.124058373743657,0.0125783789782513,0.992195194649903,0.0869490016715439,0.0893787828400183,0.025,4.8e-06,0.00219082399663868,0.00225204635443623,456.421665966393,469.176323840881
1647,281.084772083333,39.6701233333333,5.01,0.00091,0.0602,0.147989665489858,-0.755372247312289,0.638366530214877,1.68505747091255,0.769331308730987,0.0248497587047674,0.638366530214877,0.999567562974518,0.0248497587047674,0.0157218491755334,0.999567562974518,0.00893020971724112,0.0280167521955968,0.025,4.8e-06,0.000223351828531394,0.000700721822950727,46.5316309440405,145.983713114735
1870,276.05744,39.5072386111111,5.12,-0.00184,-0.0046,0.0814175397007362,-0.767236379777099,0.636175700396997,2.56800158140899,0.770358203931333,-0.0427634874639586,0.636175700396997,0.998995748221226,-0.0427634874639586,0.0133708330268597,0.998995748221226,-0.0413533377410065,-0.0172451875487206,0.025,4.8e-06,-0.0010348727162913,-0.000431563086715503,-215.598482560688,-89.9089763990631
2080,281.094917916667,39.6127216666667,5.21,0.00051,0.0518,0.148246419809791,-0.75597324354495,0.637595054919427,1.66290351528201,0.769965719376536,0.025006737637399,0.637595054919427,0.999578858192571,0.025006737637399,0.0147230882348048,0.999578858192571,0.00969245371400951,0.0273525610398247,0.025,4.8e-06,0.000242413433281675,0.000684102130003113,50.502798600349,142.521277083982
2124,282.470486666667,32.5510577777778,5.23,-0.00093,-0.0128,0.182015694381129,-0.82302578815017,0.538050963235591,6.76300281316111,0.841568486169184,0.0475777684234995,0.538050963235591,0.99304175722184,0.0475777684234995,-0.107723833786211,0.99304175722184,0.105690230742532,-0.0519388442242388,0.025,4.8e-06,0.00266077005256592,-0.00130756949157768,554.327094284566,-272.41031074535
2125,284.256710416667,32.9012736111111,5.23,0.01611,-0.144,0.206767529274368,-0.813749611554409,0.543193113480668,7.15084456602213,0.836384701199158,0.0734974357863808,0.543193113480668,0.992221862596443,0.0734974357863808,-0.100468414531499,0.992221862596443,0.120882154293349,-0.0297200295936109,0.025,4.8e-06,0.0030457440732314,-0.00074882520517739,634.530015256542,-156.005251078623
2212,286.8255375,36.1001572222222,5.26,-5e-05,-0.0043,0.233879038207282,-0.773398755675346,0.589198574512076,6.59443198790853,0.800907670522029,0.106733045922595,0.589198574512076,0.993383930518494,0.106733045922595,-0.0423842364059288,0.993383930518494,0.109006318733922,0.0361384706885453,0.025,4.8e-06,0.00274330788391722,0.000909478943093104,571.522475816088,189.474779811063
2498,281.095763333333,39.6128008333333,5.38,0.00062,0.0691,0.148257404865281,-0.755970191531889,0.637596119356017,1.66351018955243,0.769964469797446,0.0250180701031468,0.637596119356017,0.999578550869204,0.0250180701031468,0.0147247006942629,0.999578550869204,0.00970009841746171,0.0273610806240023,0.025,4.8e-06,0.000242604705979004,0.000684315419738895,50.5426470789593,142.565712445603
2612,279.155598333333,33.4690363888889,5.42,-0.00072,-0.0004,0.132732145469999,-0.823556363602452,0.551486258694481,5.31503920948995,0.834183180706639,-0.00115217069826895,0.551486258694481,0.995700418107646,-0.00115217069826895,-0.0926247800696016,0.995700418107646,0.0586554470177472,-0.071695299116527,0.025,4.8e-06,0.00147271824815599,-0.00180012225094737,306.816301699165,-375.025468947369
2742,283.717404583333,41.6027225,5.46,-0.00012,-0.0023,0.177320317836612,-0.726438095390435,0.663961744717149,4.43419385192125,0.745479139153931,0.0584436022031,0.663961744717149,0.997006789116777,0.0584436022031,0.050614304466032,0.997006789116777,0.0122361489198734,0.0763396300401375,0.025,4.8e-06,0.000306822106264519,0.00191422041638665,63.9212721384414,398.795920080553
2824,272.009326666667,36.4012641666667,5.49,-0.00787,-0.1861,0.0282208706098176,-0.804385809299184,0.593436645531872,6.19875121919626,0.798489165370027,-0.101232408479484,0.593436645531872,0.994153317618503,-0.101232408479484,-0.0375656830307519,0.994153317618503,-0.0534017683776803,-0.0938479206070155,0.025,4.8e-06,-0.00134289569403652,-0.00235999616316295,-279.769936257608,-491.665867325615
3063,272.495815833333,36.4662838888889,5.56,0.00109,0.0112,0.0350203323200331,-0.803443882099892,0.594349648473395,5.81678368306525,0.798650621235654,-0.0943699134229537,0.594349648473395,0.994851063669999,-0.0943699134229537,-0.0369551154133682,0.994851063669999,-0.0485372574730236,-0.0889690718826972,0.025,4.8e-06,-0.00121971165447544,-0.00223573847211086,-254.106594682384,-465.77884835643
3100,273.91157125,42.1593455555556,5.57,-0.00026,0.001,0.0505678035870907,-0.739554234148726,0.671194779473939,5.2700357133489,0.738084088930466,-0.0687709653459601,0.671194779473939,0.995772869565839,-0.0687709653459601,0.0608846989152397,0.995772869565839,-0.0918175459334121,0.00243526084442589,0.025,4.8e-06,-0.00230518295737071,6.11399677289781e-05,-480.246449452232,12.7374932768704
3146,283.431498333333,36.9717211111111,5.58,0.00012,-0.0026,0.185578146655652,-0.77708030616091,0.601420775547969,3.77520137186338,0.796790197260844,0.0584673608802838,0.601420775547969,0.997830059349365,0.0584673608802838,-0.0302777206958807,0.997830059349365,0.0642507406190351,0.0143880154555301,0.025,4.8e-06,0.00160976160261522,0.000360482612262447,335.367000544839,75.1005442213432
3512,280.964965,31.9266130555556,5.68,-0.00259,-0.1261,0.161435111960409,-0.833231523873751,0.528832612694563,7.00034519271574,0.848339183325167,0.0256261153090386,0.528832612694563,0.99254541739105,0.0256261153090386,-0.11915073071616,0.99254541739105,0.0962193566206603,-0.0748026057536317,0.025,4.8e-06,0.00242355047272238,-0.00188411040046544,504.906348483829,-392.523000096968
3556,281.20085,37.5946147222222,5.69,0.00162,0.0207,0.153912533957535,-0.777254579357769,0.610070693246404,1.94976132341484,0.791880526874513,0.027184193914776,0.610070693246404,0.999421043770472,0.027184193914776,-0.0204596400247961,0.999421043770472,0.0339755037956686,0.0018006694785245,0.025,4.8e-06,0.000849879638002486,4.50428147813256e-05,177.058257917185,9.3839197461095
4510,284.507908333333,38.2661880555556,5.9,-0.00045,0.0021,0.196688769754889,-0.760106218072094,0.619315804013144,4.15713010860918,0.781819136007265,0.0721579758059099,0.619315804013144,0.997368996393064,0.0721579758059099,-0.00695065187491305,0.997368996393064,0.0597440092972695,0.0410577445432683,0.025,4.8e-06,0.00149754026627384,0.00102915131440198,311.987555473716,214.406523833746
4677,282.441308333333,32.8128202777778,5.93,0.00015,-0.0052,0.181065062819839,-0.82070936772774,0.541896278590268,6.51146249547965,0.839129531534913,0.0470111960708921,0.541896278590268,0.993549188552732,0.0470111960708921,-0.103198630660452,0.993549188552732,0.10234746663964,-0.0488365232040134,0.025,4.8e-06,0.00257529943707985,-0.00122884009585756,536.520716058303,-256.008353303657
5051,281.084630416667,39.6707905555556,6,0.00014,0.0472,0.147986368547583,-0.755365317934154,0.638375493879843,1.68530941236286,0.769323940071455,0.0248476165174732,0.638375493879843,0.999567433662489,0.0248476165174732,0.0157334520937577,0.999567433662489,0.00892111049449745,0.0280242635751761,0.025,4.8e-06,0.00022312427841436,0.000700909779355584,46.4842246696583,146.02287069908
5096,283.718820416667,33.9685761111111,6.01,-0.00045,-0.0018,0.196684988215784,-0.805684003578325,0.558738133465542,6.01641470210573,0.826805588144578,0.0648399384973563,0.558738133465542,0.99449190813317,0.0648399384973563,-0.0823506346867232,0.99449190813317,0.102604242204524,-0.0214059370101474,0.025,4.8e-06,0.00257931314889052,-0.000538112397775311,537.356906018858,-112.106749536523
5238,273.270078333333,38.7734930555556,6.04,-0.00057,0.0075,0.044472036700206,-0.778358334433299,0.626243196505923,4.64906653041574,0.775407009143772,-0.0810149924443331,0.626243196505923,0.996709832804882,-0.0810149924443331,0.00246580398844452,0.996709832804882,-0.0636460730229951,-0.0501865178988974,0.025,4.8e-06,-0.00159640426250953,-0.00125880462515518,-332.584221356153,-262.250963573996
5310,280.9004575,36.5566047222222,6.05,0.00179,0.0576,0.151900771628339,-0.788775603479416,0.595616657703928,2.58798679660714,0.802929382001016,0.0233496163794686,0.595616657703928,0.998980059088113,0.0233496163794686,-0.0386475996569144,0.998980059088113,0.0427290420800421,-0.0145969348574099,0.025,4.8e-06,0.00106931669184283,-0.000365295951721354,222.774310800589,-76.1033232752821
5311,285.23000625,33.8021580555556,6.05,0.00045,0.0031,0.21828956969587,-0.801779288962059,0.556326914281062,6.93684434755072,0.826418576511746,0.0867911334343119,0.556326914281062,0.992679882056308,0.0867911334343119,-0.0839878021968836,0.992679882056308,0.120472184096313,-0.00855012396047178,0.025,4.8e-06,0.00303401394230833,-0.000215329335141769,632.086237980902,-44.8602781545352
