SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3,Angular_Distance,r1_1,r1_2,r1_3,r2_1,r2_2,r2_3,r3_1,r3_2,r3_3,Focal_Length,Pixel_Size,Sensor_y,Sensor_z,Sensor_y_Pixels,Sensor_z_Pixels
5,79.1723295833333,45.9979911111111,0.08,0.00725,-0.4271,0.13050025732132,0.682315890843424,0.719315443975461,6.02835882042319,0.694611111174948,-0.0100347541419751,0.719315443975461,0.994470036687866,-0.0100347541419751,0.104540182893206,0.994470036687866,-0.074884201926643,0.0736322105592701,0.025,4.8e-06,-0.00188251528864682,0.00185104145531891,-392.190685134755,385.633636524772
179,75.4922258333333,43.8233083333333,3.03,2e-05,-0.0023,0.180738588564281,0.698473286720633,0.69243673381867,5.084683174791,0.719246834572679,-0.0567041498985186,0.69243673381867,0.996064793845773,-0.0567041498985186,0.068114358583665,0.996064793845773,-0.0872209646708715,0.0157299009170541,0.025,4.8e-06,-0.00218913882936556,0.000394801146829049,-456.070589451159,82.2502389227185
201,76.62872,41.2344744444444,3.17,0.00271,-0.0684,0.173911982550193,0.731632669238755,0.659142063312633,2.84096491307189,0.750717023867626,-0.0442231890222522,0.659142063312633,0.998770955809194,-0.0442231890222522,0.0223805135037562,0.998770955809194,-0.0482628449861332,-0.0112816499606278,0.025,4.8e-06,-0.00120805587871323,-0.000282388316735931,-251.678308065257,-58.8308993199857
387,75.61952875,41.0758375,3.76,0.00079,-0.0214,0.187223643014125,0.730221119204563,0.657057398226483,3.49809932449598,0.751638464031472,-0.0575777285437213,0.657057398226483,0.998136823038651,-0.0575777285437213,0.0201912770783584,0.998136823038651,-0.0570858017280473,-0.021542834896447,0.025,4.8e-06,-0.00142980903044584,-0.000539576198352838,-297.876881342883,-112.411707990175
505,87.8724958333333,39.1484802777778,3.97,0.00073,0.0004,0.0287896761047776,0.774977919133461,0.63133222585684,6.1254828494337,0.768203537967116,0.10622120715494,0.63133222585684,0.994290583820649,0.10622120715494,-0.0101631725430571,0.994290583820649,0.0879029268682152,0.0604922339940743,0.025,4.8e-06,0.00221019207811565,0.00152098981370284,460.45668294076,316.872877854758
931,87.2934920833333,39.1810711111111,4.52,-0.00244,-0.0256,0.0366026658770089,0.77428858130169,0.631773248655333,5.67817635449726,0.768881384162021,0.0984072119947575,0.631773248655333,0.995093328122006,0.0984072119947575,-0.0102610406143416,0.995093328122006,0.0819799676808043,0.0553945234307921,0.025,4.8e-06,0.00205960499794329,0.00139169166010126,429.084374571519,289.935762521096
954,79.5440375,33.3716127777778,4.54,0.00238,-0.161,0.151557452819704,0.821253056354491,0.550067046752676,6.63843483294905,0.835094052576858,-0.006645857924272,0.550067046752676,0.993295440607696,-0.006645857924272,-0.115412305411569,0.993295440607696,0.0690945773912685,-0.0926828303575419,0.025,4.8e-06,0.00173902382328959,-0.0023327105554023,362.296629851998,-485.981365708812
1118,79.78531,40.0990516666667,4.69,0.04526,-0.6647,0.13565081162257,0.752808021251006,0.644110969046703,0.191884686549588,0.76492669209507,-0.00286622996502073,0.644110969046703,0.99999439203922,-0.00286622996502073,0.00173222859298523,0.99999439203922,-0.00330911461412089,-0.000515413020159462,0.025,4.8e-06,-8.27283292902483e-05,-1.28853977647918e-05,-17.2350686021351,-2.68445786766497
1164,87.7601558333333,37.3055730555556,4.73,0.0031,-0.0448,0.0310869468558828,0.794806820662835,0.606065771647777,6.62910071967786,0.788130110806497,0.107402089724196,0.606065771647777,0.993314260508364,0.107402089724196,-0.0423269535119008,0.993314260508364,0.109482015285814,0.0366124049972084,0.025,4.8e-06,0.00275547275516268,0.00092147083890829,574.056823992225,191.973091439227
1326,78.3571570833333,38.4844980555556,4.83,-0.00159,-0.0724,0.15797240459267,0.766670630463787,0.622302871415093,1.97870740098867,0.782454801066675,-0.0224414909540499,0.622302871415093,0.999403727566869,-0.0224414909540499,-0.0262405946808891,0.999403727566869,-0.000324050308972677,-0.0345265740675883,0.025,4.8e-06,-8.10609116301787e-06,-0.000863679339871139,-1.68876899229539,-179.933195806487
1387,72.4776595833333,37.4882747222222,4.87,-0.00323,0.0385,0.238898457795291,0.756660234301598,0.60859906070391,6.37929120047816,0.78664914697984,-0.103876382619958,0.60859906070391,0.99380814321553,-0.103876382619958,-0.0394343963094664,0.99380814321553,-0.0542259843341257,-0.0969789518477852,0.025,4.8e-06,-0.00136409589477386,-0.00243957932197062,-284.186644744555,-508.245692077214
1591,74.8142066666667,37.8902447222222,4.99,0.00391,-0.0978,0.206727884746164,0.761631358941352,0.614150840384939,4.55063523809294,0.785958387681778,-0.0713313261276829,0.614150840384939,0.996847606084391,-0.0713313261276829,-0.0347374748173231,0.996847606084391,-0.0323141475960456,-0.0724613421691801,0.025,4.8e-06,-0.000810408416462354,-0.00181726228078652,-168.83508676299,-378.596308497191
1593,81.16309125,37.3853455555556,4.99,-2e-05,-0.0121,0.122063742001265,0.785138099750769,0.607172633777578,2.76768820407548,0.794406234177556,0.0161284807540704,0.607172633777578,0.99883352720376,0.0161284807540704,-0.0455132622678486,0.99883352720376,0.041610494119794,-0.0244979940567178,0.025,4.8e-06,0.00104147720782568,-0.000613165091817153,216.974418297017,-127.742727461907
1700,80.0038379166667,33.9580536111111,5.04,0,-0.0037,0.143977198200687,0.816855223274374,0.558585813109904,6.04194716483555,0.829446735062261,5.55598942967028e-05,0.558585813109904,0.994445101871352,5.55598942967028e-05,-0.105256526055037,0.994445101871352,0.0677001521351125,-0.0805954636748197,0.025,4.8e-06,0.0017019580067244,-0.00202614160206417,354.574584734251,-422.11283376337
1729,81.91202625,34.4758922222222,5.06,-0.00012,-0.0388,0.115982656216752,0.816164657486103,0.566059427381524,5.7295666127936,0.823905459319877,0.0275048863914095,0.566059427381524,0.995004185034482,0.0275048863914095,-0.095969541983187,0.995004185034482,0.0827579978728428,-0.0558371341666599,0.025,4.8e-06,0.00207933793439208,-0.00140293716866942,433.195402998349,-292.278576806129
2065,80.4517320833333,41.8045725,5.21,0.0012,-0.0374,0.123649562858651,0.735095873455102,0.666591960973237,1.83657990731571,0.745399636645583,0.00587701067618912,0.666591960973237,0.999486302785504,0.00587701067618912,0.0315054168307016,0.999486302785504,-0.0157492402061392,0.027912219135956,0.025,4.8e-06,-0.000393933367627127,0.000698164123364333,-82.0694515889847,145.450859034236
