SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3,Angular_Distance,r1_1,r1_2,r1_3,r2_1,r2_2,r2_3,r3_1,r3_2,r3_3,Focal_Length,Pixel_Size,Sensor_y,Sensor_z,Sensor_y_Pixels,Sensor_z_Pixels
63,30.9748045833333,42.3297247222222,2.17,0.00389,-0.0509,0.633855594124788,0.380479599157372,0.673396139298228,7.42937799432158,0.736440244809437,-0.0647565085783525,0.673396139298228,0.991604993022668,-0.0647565085783525,0.1119202055451,0.991604993022668,-0.118174162189226,0.0524824275676162,0.025,4.8e-06,-0.00297936585184492,0.00132316869965621,-620.701219134357,275.66014576171
176,32.3859454166667,34.9872969444444,3.02,0.01211,-0.0391,0.691847963793475,0.438822047332908,0.573394807937234,3.11163635959287,0.817649888035698,-0.0516435361476512,0.573394807937234,0.998525666716234,-0.0516435361476512,-0.0167164016183939,0.998525666716234,-0.0319548440503767,-0.0438791619179001,0.025,4.8e-06,-0.000800050642550429,-0.00109859874864814,-166.677217198006,-228.874739301696
522,34.32861375,33.8471936111111,4.01,0.00361,-0.0524,0.685862273866243,0.468365602478444,0.556979895240422,2.55185706178877,0.830172629176343,-0.0242239976966369,0.556979895240422,0.99900833351432,-0.0242239976966369,-0.0373570275120434,0.99900833351432,0.00236028403278448,-0.0444609787142255,0.025,4.8e-06,5.9065674269239e-05,-0.00111262782357932,12.3053488060915,-231.797463245691
639,42.6460820833333,38.3186436111111,4.22,0.01663,-0.1089,0.577095810456678,0.531524052992136,0.620034359244843,5.78002988093951,0.779302317629537,0.0908035852434804,0.620034359244843,0.99491587099681,0.0908035852434804,0.0435559243454725,0.99491587099681,0.0478601136319145,0.088610491262597,0.025,4.8e-06,0.00120261710128222,0.00222658251430389,250.545229433796,463.871357146644
964,42.8784895833333,35.0597411111111,4.55,0.00076,-0.063,0.599834733597755,0.556981323799035,0.574430237112206,5.67494265703186,0.812661901228364,0.0980333462813298,0.574430237112206,0.995098910620225,0.0980333462813298,-0.0129468567353895,0.995098910620225,0.0869206146096453,0.047148328054379,0.025,4.8e-06,0.00218371796215387,0.00118451360842593,454.941242115389,246.773668422069
1249,32.1219158333333,37.8590772222222,4.79,0.01302,-0.0436,0.668661397641974,0.419806999478082,0.61372145024652,3.61425525281831,0.787714797277232,-0.0533983113759023,0.61372145024652,0.998011075188351,-0.0533983113759023,0.0335039422097608,0.998011075188351,-0.0628932644985868,-0.00428148129782417,0.025,4.8e-06,-0.00157546509408017,-0.000107250345318466,-328.221894600036,-22.3438219413471
1324,33.3055166666667,44.2316519444444,4.83,-0.00192,-0.0153,0.598839293107134,0.393446434375958,0.697561039843678,8.484274090262,0.715733176716398,-0.0336840531952458,0.697561039843678,0.98905639519545,-0.0336840531952458,0.143641329997054,0.98905639519545,-0.111681226866328,0.0964092873566359,0.025,4.8e-06,-0.00282292363228334,0.00243690066170555,-588.10909005903,507.687637855323
1342,30.9779991666667,42.3309480555556,4.84,0.00389,-0.0509,0.633822051942716,0.380507539342355,0.673411923695112,7.42910745368995,0.736429531442792,-0.0647141888939232,0.673411923695112,0.991605603562689,-0.0647141888939232,0.111939272549342,0.991605603562689,-0.118151132149225,0.0525227279844695,0.025,4.8e-06,-0.00297878339242755,0.00132418392442931,-620.579873422406,275.871650922773
1385,34.26345875,34.2242311111111,4.87,0.09285,-0.2464,0.683350443194234,0.465511727111224,0.562433110430182,2.2739471286976,0.826463049622963,-0.0250564143432834,0.562433110430182,0.999212540079768,-0.0250564143432834,-0.0307648475958616,0.999212540079768,-0.0021879413159435,-0.0396170753607189,0.025,4.8e-06,-5.47416397458551e-05,-0.000991207420133964,-11.4045082803865,-206.501545861242
1434,40.56215,40.1939438888889,4.9,-0.00147,-0.1823,0.580308470010222,0.496719911017522,0.645376951581895,5.51907565132884,0.761444052434123,0.0607580890051701,0.645376951581895,0.995364232994246,0.0607580890051701,0.0745553371410567,0.995364232994246,0.00533179889972187,0.096029243443181,0.025,4.8e-06,0.000133915774823524,0.00241191214883989,27.8991197549007,502.481697674978
1499,44.7653191666667,35.1831283333333,4.94,-0.00379,0.0058,0.58029101233243,0.575556687732816,0.57619166968313,7.17199939728118,0.807769023567632,0.124548642515131,0.57619166968313,0.992175833529391,0.124548642515131,-0.00864586652081699,0.992175833529391,0.105843881255297,0.0662132023170031,0.025,4.8e-06,0.00266696380012569,0.00166838377028062,555.617458359519,347.579952141795
1922,38.0257104166667,36.1472713888889,5.15,0.00395,0.0164,0.636098289326252,0.497434282014454,0.58986278183403,1.6438819475165,0.806998861110561,0.028543594259952,0.58986278183403,0.999588437117927,0.028543594259952,0.00286698567540266,0.999588437117927,0.0214070809383089,0.0190969438874502,0.025,4.8e-06,0.000535397373143668,0.000477620167919099,111.541119404931,99.5042016498123
2157,33.9845195833333,33.358895,5.25,-0.00119,-0.0333,0.692573642614796,0.466874614030829,0.549881663932193,3.1178874155013,0.834725859528593,-0.0293750762622706,0.549881663932193,0.998519738568256,-0.0293750762622706,-0.0457759389217478,0.998519738568256,0.0031414859008073,-0.054299749133093,0.025,4.8e-06,7.86535753742779e-05,-0.00135950615285161,16.3861615363079,-283.230448510752
2262,37.041585,29.6693305555556,5.29,-0.00114,-0.0855,0.693551967759167,0.523418542220069,0.494993633976848,6.39073983369921,0.868753028292733,0.0157948774797334,0.494993633976848,0.99378592183377,0.0157948774797334,-0.110181955920211,0.99378592183377,0.0775416530638141,-0.0798550787685686,0.025,4.8e-06,0.00195066289832149,-0.00200886018341901,406.388103816976,-418.512538212293
2403,43.4275729166667,38.3374930555556,5.35,0.00405,-0.0785,0.569644414474102,0.539205463001725,0.620292438876659,6.36114040256602,0.777789031168263,0.101397797149549,0.620292438876659,0.993843291933781,0.101397797149549,0.0446542026179449,0.993843291933781,0.0557854593344609,0.0957261385676285,0.025,4.8e-06,0.00140327604430261,0.00240797868599003,292.349175896378,501.662226247923
2507,38.9450470833333,34.6875583333333,5.39,0.00159,-0.0512,0.639517991453497,0.516856662638242,0.569100983037055,2.73720848833897,0.821181647142277,0.0422465797781872,0.569100983037055,0.998859072901243,0.0422465797781872,-0.0222660948510053,0.998859072901243,0.0472658831743368,0.00681826742058806,0.025,4.8e-06,0.00118299679245668,0.000170651386305778,246.457665095141,35.5523721470371
